id,notification_number,issue_date,effective_date,issuing_authority,ministry,department,tax_type,document_type,category,title,subject,total_pages,status,metadata,created_at,updated_at
6dd3b73b-b37a-4e18-9b29-74b676b9afe7,9/2017 - Central Tax,2017-06-28,,CBIC,,Department of Revenue,GST,Notification,General,Bring Into Force Certain Sections Of Cgst,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-06-28"",""issuing_authority"":""CBIC"",""original_filename"":""BringIntoForceCertainSectionsOfCGST_28Jun2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""1"",""3"",""42"",""43""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
7286a989-1f74-4655-a9e2-9910c68c2356,46/2017- Central Tax,2017-10-13,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Amend Noti No8,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-13"",""issuing_authority"":""CBIC"",""original_filename"":""AmendNotiNo8_13Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""10"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
75034ab6-93eb-4225-9df7-22c8c52de5ca,60/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Time Limit Form Gstr5 For Julyto Oct,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendTimeLimit_FormGSTR5_forJulytoOct_15nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
76d2d02b-3b3f-4939-95d4-951b5183725f,54/2017 - Central Tax,2017-10-30,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Amend Noti No30 2017 Dated11sept2017 Extend Due Date Gstr2and Gstr3 For Jul,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-30"",""issuing_authority"":""CBIC"",""original_filename"":""AmendNotiNo30_2017_dated11sept2017_extendDueDate_GSTR2andGSTR3_forJul_30Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""168"",""3"",""38"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
777596ed-4174-458e-94d2-5ddd4b233d5c,41/2017 - Central Tax,2017-10-13,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Time Limit Form Gstr4,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-13"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendTimeLimit_FormGSTR4_13Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
781280ef-6ff2-48b1-97aa-513f867c9201,59/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Extend Time Limit Form Gstr4,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendTimeLimit_FormGSTR4_15Nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
7b0702d1-212b-4d4b-ba44-ef48196454e1,39/2017 - Central Tax,2017-10-13,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Refunds,Cross Empower State Tax Officers For Processing And Grant Of Refund,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-13"",""issuing_authority"":""CBIC"",""original_filename"":""CrossEmpowerStateTaxOfficersForProcessingAndGrantOfRefund_13Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""3"",""54"",""55"",""6""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
80285279-9cfe-4d21-a644-3e114c22fa0a,67/2017 - Central Tax,2017-12-21,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Input Tax Credit,Extend Time Limit Itc01,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-12-21"",""issuing_authority"":""CBIC"",""original_filename"":""Extend_time_limit_ITC01_21Dec2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""18"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
8369a448-14a5-4e5c-8206-d1f90042da65,3/2017 - Central Tax,2026-02-03,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Penalties,Notifying Rules On Registration And Compostiion Levy,,,active,"{""tax_type"":""GST"",""effective_date"":""2026-02-03"",""issuing_authority"":""CBIC"",""original_filename"":""NotifyingRules_OnRegistrationAndCompostiionLevy_19Jun2017.pdf"",""extraction_warnings"":[""issue_date used file modified date fallback"",""effective_date defaulted to issue_date""],""referenced_sections"":[""10"",""14"",""164"",""2"",""3"",""51"",""52"",""9""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
92ba7421-293e-415b-ae3b-0f01d616cb87,28/2017 - Central Tax,2017-09-01,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Waive Late Fee Late Filing Gstr3b For Jul,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-09-01"",""issuing_authority"":""CBIC"",""original_filename"":""WaiveLateFee_lateFilingGSTR3B_ForJul_01Sep2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""128"",""3"",""47""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
950bd56a-fd36-4e14-b797-ed51dd49a254,UNKNOWN-Input_Tax_Credit-2017-04-12,2017-04-12,,CBIC,,,GST,Notification,Input Tax Credit,Cgst Act Updated 30092020,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-07-08"",""issuing_authority"":""CBIC"",""original_filename"":""CGST-Act-Updated-30092020.pdf"",""extraction_warnings"":[""notification_number extraction failed""],""referenced_sections"":[""107"",""109"",""116"",""171"",""3"",""92A""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
961d7478-2d8d-441c-bff4-ba92f155a939,UNKNOWN-General-2019-07-29,2019-07-29,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Corrigendum Noftn 02,,,active,"{""tax_type"":""GST"",""effective_date"":""2019-07-29"",""issuing_authority"":""CBIC"",""original_filename"":""Corrigendum_Noftn_02_29Jul2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""notification_number extraction failed"",""category defaulted to General""],""referenced_sections"":[""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
96826920-067e-4ec2-b695-20f6ef17e35b,26/2017 - Central Tax,2017-08-28,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Form Gstr 6,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-08-28"",""issuing_authority"":""CBIC"",""original_filename"":""FORM_GSTR_6_28aug2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
98d3b9e7-3d44-4670-bfb9-1295d3e8d269,38/2017 - Central Tax,2017-10-13,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Input Tax Credit,Amend Noti No32 Dated Add Certain Items To The List Of Handicraft Goods,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-13"",""issuing_authority"":""CBIC"",""original_filename"":""AmendNotiNo32_dated15Sep2017_addCertainItemsToTheListOfHandicraftGoods_13Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""23"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
99b6dcd7-d7c0-4eeb-9cc8-b09a1730f7d1,75/2017 - Central Tax,2017-12-29,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Refunds,Cgst 14th Amendment Rule 2017,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-23"",""issuing_authority"":""CBIC"",""original_filename"":""CGST_14th_amendment_rule_2017_29Dec2017.pdf"",""extraction_warnings"":[],""referenced_sections"":[""16"",""164"",""2"",""25"",""3"",""55""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
9ab0f071-c491-4236-9bd6-3a241079fe1d,UNKNOWN-General-2019-07-29-1,2019-07-29,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Corrigendum Noftn 14,,,active,"{""tax_type"":""GST"",""effective_date"":""2019-07-29"",""issuing_authority"":""CBIC"",""original_filename"":""Corrigendum_Noftn_14_29Jul2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""notification_number extraction failed"",""category defaulted to General""],""referenced_sections"":[""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
9b4539fb-cc3d-4dc0-a508-37804b73e00b,61/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Time Limit Form Gstr5a For Julyto October,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendTimeLimit_FormGSTR5A_forJulytoOctober_15Nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""14"",""168"",""20"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
9ba5ba46-a5ee-4866-be31-bed0391f73d3,13/2017 - Central Tax,2017-06-28,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Interest Rates,Prescribe Rate Of Interest,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-06-28"",""issuing_authority"":""CBIC"",""original_filename"":""PrescribeRateOfInt_28Jun2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""3"",""50"",""54"",""56""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
9bf946f3-7e52-43c5-a2a7-eda1e8e297ee,25/2017 - Central Tax,2017-08-28,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Form Gstr 5a,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-08-28"",""issuing_authority"":""CBIC"",""original_filename"":""FORM_GSTR_5A_28AUG2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""14"",""168"",""20"",""3"",""39""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
9d3ccd9a-49aa-4740-8b33-677a90ef8b3d,53/2017 - Central Tax,2017-10-28,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Input Tax Credit,Extend Due Date Submission Form Gstitc04,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-28"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendDueDate_submissionFormGSTITC04_28Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
9e9794e9-5416-4d9a-8f9c-519ebe96ed3b,19/2017 - Central Tax,2017-08-08,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Form Gstr 2,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-08-08"",""issuing_authority"":""CBIC"",""original_filename"":""FORM_GSTR_2_08AUG2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""38""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
9f66beca-73f9-439e-a91b-c79a3f5cd82a,52/2017 - Central Tax,2017-10-28,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Extend Due Date Submission Form Gstitc01,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-28"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendDueDate_SubmissionFormGSTITC01_28Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""168"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
a2641295-d7f9-4209-86b8-40c83f26f4e6,UNKNOWN-General-2026-02-03,2026-02-03,,CBIC,,,GST,Notification,General,Corrigendum To Noti32 16sept2017,,,active,"{""tax_type"":""GST"",""effective_date"":""2026-02-03"",""issuing_authority"":""CBIC"",""original_filename"":""CorrigendumToNoti32_16Sept2017.pdf"",""extraction_warnings"":[""issue_date used file modified date fallback"",""effective_date defaulted to issue_date"",""notification_number extraction failed"",""category defaulted to General""],""referenced_sections"":[]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
a5b99674-b710-48f1-b875-1fc26276b97a,15/2017 - Central Tax,2026-02-03,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Refunds,Amending Cgstrules Noti10,,,active,"{""tax_type"":""GST"",""effective_date"":""2026-02-03"",""issuing_authority"":""CBIC"",""original_filename"":""AmendingCGSTRulesNoti10_01Jul2017.pdf"",""extraction_warnings"":[""issue_date used file modified date fallback"",""effective_date defaulted to issue_date""],""referenced_sections"":[""164"",""3"",""50"",""67"",""73"",""74"",""76"",""79""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
a67ae7ad-7d85-4d04-a60c-ab752632458f,66/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Exempt Taxpayers Adavancetax Supplyofgoods,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""Exempt_taxpayers_adavancetax_supplyofgoods_15Nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""10"",""12"",""14"",""148"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
ae231c0a-db2b-451a-a4e0-6306ea75e67e,17/2017 - Central Tax,2017-07-27,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Gst Rules,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-07-22"",""issuing_authority"":""CBIC"",""original_filename"":""GST_RULES_27JUL2017.pdf"",""extraction_warnings"":[""category defaulted to General""],""referenced_sections"":[""12"",""13"",""14"",""164"",""18"",""29"",""3"",""37"",""38""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
